"","Anio","Mes","GasolinaSuper","GasolinaRegular","TotalGasolinas","Diesel","DieselLS","DieselULS","TotalDiesel","GLP","GasolinaAviacion","Kerosina","TurboJet","Bunker","Asfalto","PetCoke","AceitesLubricantes","GrasasLubricantes","Solventes","Naftas","Ceras","Butano","PetroleoReconstit","MTBE","Orimulsion","MezclasOleosas","PetroleoCrudo","TotalMensual"
"502",2014,12,583081.57,491072.11,1074153.68,1004032.65,NA,NA,1004032.65,380185.96,27979.07,124619.87,NA,91348.4,48364.5,152365.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2903049.86
"513",2015,1,471973.3,371420.59,843393.89,1324421.96,NA,NA,1324421.96,523352.31,NA,19111.3,NA,245584.89,142.9,148594.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3104601.52
"522",2015,2,664315.85,548714.53,1213030.38,955286.02,NA,NA,955286.02,421268.22,NA,170853.82,NA,162224.95,3349.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2926012.44
"532",2015,3,622883.1,453536.19,1076419.29,1164885.97,NA,NA,1164885.97,497168.6,NA,90955.77,NA,280843.31,8319.11,164423.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3283015.37
"542",2015,4,599558.55,537064.59,1136623.14,1130870.79,NA,NA,1130870.79,519603.84,NA,108382.5,NA,304405.66,15358.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3215244.26
"552",2015,5,618319.21,534049.28,1152368.49,954782.75,NA,NA,954782.75,415890.34,NA,58745.67,NA,375606.55,33380.56,163409.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3154183.76
"562",2015,6,525280.85,394824.33,920105.18,862071.77,NA,NA,862071.77,526358.48,NA,100499.13,NA,336491.48,10275.34,162807.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2918609.19
"572",2015,7,616269.01,519374.15,1135643.16,1149630.43,NA,NA,1149630.43,411971.43,NA,123496.73,NA,235587.32,2723.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3059052.87
"582",2015,8,467373.13,328552.07,795925.2,919285.9,NA,NA,919285.9,561563.81,NA,119764.65,NA,348192.53,3047.6,165284.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2913063.82
"592",2015,9,576250.29,485906.49,1062156.78,754068.77,NA,NA,754068.77,480268.89,NA,147445.06,NA,513707.26,74.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2957721.64
"602",2015,10,533620.64,432666.75,966287.39,1163425.95,NA,NA,1163425.95,423239.36,11536.58,135724.25,NA,250054.86,571.4,148515.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3099355.08
"612",2015,11,724273.97,574547.76,1298821.73,904700.42,NA,NA,904700.42,637316.48,NA,184093.93,NA,263741.4,11175.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3299849.79
"622",2015,12,498798.79,319329.71,818128.5,1113876.28,NA,NA,1113876.28,500684.29,NA,116266.75,NA,208710.54,640.37,148507.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2906814.1
"314",2016,1,729211.43,546876.54,1276087.97,987507.78,NA,NA,987507.78,748970.64,NA,16000,104377.6,178437.6,27449.2,162512.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3501343.52
"414",2016,2,405559.45,424074.81,829634.26,1167227.96,NA,NA,1167227.96,287337.74,NA,24900,117800.1,370085.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2796986.02
"514",2016,3,771024.11,508542.18,1279566.29,1498844.95,NA,NA,1498844.95,504451.07,25081.9,13000,111203.62,264193.1,2716.52,181497.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3880554.92
"65",2016,4,502728.88,527083.64,1029812.52,1137213.1,NA,NA,1137213.1,587482.69,NA,16000,59681.73,269518.34,4428.6,161331.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3265468.87
